TeacherExp,SchoolID,TestScore,SmallClass,Boy,FreeLunch
7,63,920,1,0,0
21,20,986,1,0,0
"first year teacher",19,902,0,1,1
16,69,1007,0,1,0
5,79,936,1,1,1
8,5,885,0,1,1
17,16,818,0,0,1
3,56,951,0,0,0
11,11,917,1,0,0
10,66,983,1,0,0
13,38,903,0,1,0
6,69,905,0,1,0
"first year teacher",43,1033,1,1,0
6,71,918,1,1,0
18,52,1018,0,1,0
13,54,923,0,1,0
12,12,883,0,0,1
1,21,965,0,0,1
8,76,900,1,0,0
13,79,983,0,1,1
13,8,885,0,1,0
3,66,924,0,1,0
14,59,1058,1,1,1
11,31,880,0,0,1
10,27,1039,0,1,1
8,17,945,0,0,0
8,9,1081,0,0,0
5,39,872,0,0,0
13,55,929,0,1,0
"first year teacher",27,842,0,0,1
3,58,925,0,0,0
8,49,857,1,1,0
15,7,856,0,0,1
8,5,848,1,0,1
11,37,887,0,1,1
10,70,934,0,0,0
4,40,1017,1,0,1
7,9,904,1,0,0
17,48,945,1,1,0
12,10,1052,1,1,0
4,80,951,0,0,0
10,28,850,0,0,1
"first year teacher",43,1008,1,1,0
16,41,915,0,0,0
18,41,1067,1,1,0
4,40,846,1,0,1
12,27,1034,0,0,0
8,61,914,0,1,0
14,21,947,1,0,0
13,8,898,1,0,0
14,21,1027,1,0,0
5,47,953,0,0,0
13,11,815,0,1,0
5,35,919,1,0,0
1,21,935,0,0,1
5,24,1001,1,0,0
10,27,1008,0,0,1
22,33,875,0,1,1
2,19,904,1,0,1
2,30,1091,1,0,0
11,49,936,0,1,0
5,39,847,0,1,1
8,61,970,0,0,0
11,9,961,0,1,0
13,50,942,0,1,1
5,17,901,1,1,0
"first year teacher",31,855,0,1,1
5,39,895,0,1,0
4,46,899,1,0,0
12,12,987,0,1,0
5,1,1008,0,1,0
11,45,907,0,1,1
8,78,943,1,1,0
2,39,944,1,1,1
22,33,891,0,1,1
11,22,928,0,1,1
14,32,908,1,1,1
7,4,949,0,1,0
13,14,939,1,1,0
8,17,921,0,1,0
3,44,980,1,1,1
15,7,898,0,1,1
20,71,879,1,0,0
11,23,890,1,0,0
20,71,807,1,0,0
6,24,866,0,0,1
11,64,978,0,0,0
12,2,865,1,0,1
6,71,928,0,0,0
12,8,876,0,1,0
18,25,911,0,1,1
14,9,852,0,1,1
2,73,821,1,1,1
11,61,926,1,0,1
1,16,971,1,0,1
17,2,904,0,1,0
"first year teacher",19,842,0,0,1
17,48,922,1,1,1
"first year teacher",67,950,0,1,0
27,70,970,0,1,0
13,24,901,1,0,1
17,48,999,1,0,0
20,64,1020,0,1,0
17,43,872,0,0,0
4,13,1004,1,1,1
3,42,1043,0,1,0
15,66,1066,1,0,0
6,13,987,0,0,0
10,1,1010,0,0,0
22,33,843,0,1,1
4,7,823,1,1,0
16,69,957,0,0,0
8,5,785,0,1,0
6,19,902,0,1,1
8,57,903,0,0,1
15,7,973,0,0,1
10,30,984,0,1,0
15,65,1027,1,1,0
8,57,924,1,0,0
10,3,904,1,0,1
14,36,913,0,0,0
9,3,870,0,0,1
12,79,898,0,0,0
3,43,899,0,0,0
6,19,857,1,0,1
1,19,847,0,0,1
6,19,827,1,1,1
1,60,963,1,0,0
8,59,913,0,0,0
13,51,924,0,1,1
10,68,967,0,0,0
13,8,859,1,1,0
9,12,947,1,0,1
5,39,808,0,0,1
13,76,889,0,0,0
8,3,874,0,0,1
6,27,933,0,0,1
11,11,931,0,0,1
8,3,956,0,1,0
20,27,959,0,0,1
8,72,998,0,1,1
5,34,924,0,0,0
9,3,973,0,1,0
10,72,1006,0,0,1
18,25,928,0,0,1
10,24,918,0,1,0
3,45,809,1,1,1
12,50,1004,1,1,0
3,58,927,0,0,0
5,29,897,1,0,1
9,49,1112,0,1,0
6,62,928,1,0,0
12,20,863,0,0,0
8,66,839,0,0,1
10,42,936,1,0,0
8,78,851,1,1,1
22,33,832,0,0,1
2,76,923,0,1,0
11,22,1032,0,0,1
"first year teacher",27,881,0,1,1
14,42,906,0,0,1
20,27,954,0,0,1
1,20,893,0,1,1
"first year teacher",59,947,0,1,0
7,22,921,0,0,1
7,63,1016,1,1,0
7,28,910,0,1,1
15,21,892,0,1,1
7,54,839,0,1,0
"first year teacher",31,934,0,0,1
21,56,937,1,0,0
"first year teacher",31,1026,0,1,1
12,10,884,0,0,0
12,80,948,1,1,1
20,3,1032,0,0,1
5,34,1164,0,1,0
10,28,828,0,0,1
11,75,884,0,1,1
12,27,995,0,0,1
9,53,834,0,1,1
"first year teacher",17,867,0,1,0
1,20,940,0,0,0
1,57,854,1,1,0
9,65,923,0,0,1
5,58,989,1,1,0
3,44,996,1,0,1
8,17,885,0,0,0
1,26,879,1,0,1
2,57,860,0,1,1
17,43,1002,0,1,0
13,55,897,0,0,0
9,53,875,0,0,1
8,5,870,0,1,0
13,48,873,0,0,1
9,65,929,0,0,1
10,63,899,0,1,1
14,42,1113,0,0,0
10,24,923,0,0,1
2,32,860,0,1,1
1,26,879,1,1,0
7,54,905,0,1,0
9,1,893,0,1,0
4,7,942,1,1,0
9,49,914,0,0,0
11,15,862,0,1,1
1,37,836,1,0,1
"first year teacher",67,946,0,1,1
"first year teacher",7,909,0,1,1
3,56,841,1,0,0
15,26,906,0,0,1
3,44,881,1,0,1
13,55,878,0,0,0
10,72,867,0,0,1
3,53,911,0,1,0
3,66,834,0,1,0
10,63,1062,0,1,0
11,11,912,0,0,1
3,42,851,0,0,0
5,34,863,0,1,0
11,75,849,0,1,0
12,2,867,1,1,1
14,36,964,0,1,1
6,16,839,0,1,1
11,23,989,1,1,0
8,5,822,0,0,1
18,52,912,0,0,0
16,62,943,0,0,0
1,14,896,0,1,1
15,36,854,0,1,0
10,63,937,0,0,1
20,27,967,0,1,0
1,21,1000,0,1,1
9,22,940,1,1,1
15,70,866,1,1,0
8,72,1012,0,1,1
4,20,896,0,0,1
4,39,939,0,0,1
16,51,947,1,1,0
13,54,921,0,0,0
4,39,879,0,1,1
9,12,962,1,1,1
13,60,872,0,0,0
1,20,962,0,0,1
9,18,857,0,0,0
4,39,1022,0,1,1
12,25,1046,1,1,1
11,64,850,0,1,0
1,27,913,1,0,1
8,57,960,0,0,0
2,32,854,0,0,1
11,59,923,1,1,0
13,54,1020,0,1,0
14,21,1024,1,0,1
6,72,921,1,0,1
11,51,816,0,1,0
12,65,1120,0,0,0
6,62,906,1,1,1
4,7,1017,1,1,0
15,21,927,0,1,1
5,34,877,0,0,1
9,53,851,1,1,1
1,57,849,1,1,0
1,19,891,0,1,1
10,68,954,0,1,1
3,66,944,0,0,1
12,50,1116,1,0,0
8,58,934,1,0,0
21,23,946,0,0,0
12,80,876,1,0,0
15,43,881,1,1,0
8,74,894,0,0,1
1,22,927,0,0,1
20,17,880,1,1,0
6,69,978,1,1,0
9,49,952,0,0,1
9,18,905,0,1,0
5,1,944,0,1,0
6,16,815,0,1,1
"first year teacher",27,889,0,0,1
4,20,883,0,1,1
14,74,1136,1,0,0
12,45,841,0,1,1
22,33,852,0,0,1
2,34,967,1,0,0
13,67,868,0,1,1
8,4,904,0,1,0
6,63,983,0,0,1
3,44,962,1,1,0
15,55,903,1,0,0
12,63,842,0,1,1
2,25,871,0,0,1
9,3,887,0,1,0
17,34,931,0,0,0
14,52,847,1,1,0
17,58,901,0,0,0
15,41,1021,0,0,0
6,26,875,0,1,1
8,17,931,0,0,0
9,49,932,0,1,1
4,20,997,0,0,1
13,80,1001,0,0,0
3,56,862,0,1,0
13,66,894,0,0,0
5,33,907,0,1,1
11,61,923,1,0,0
7,63,993,1,0,1
10,30,896,0,0,1
12,6,909,1,0,0
9,18,866,0,1,0
6,33,680,0,0,1
1,76,871,0,1,0
3,22,1120,1,1,1
1,76,936,0,0,0
"first year teacher",17,847,0,1,1
8,68,1013,1,0,0
6,68,984,1,1,0
11,49,1003,0,1,0
15,26,901,0,0,1
10,18,978,0,1,1
3,78,1005,0,0,0
5,9,799,0,1,0
9,18,832,0,1,1
11,49,990,0,0,0
5,47,930,0,1,0
13,11,1206,0,0,0
13,8,889,1,0,1
24,22,997,0,0,1
13,51,886,0,1,0
7,36,916,1,1,0
11,31,1044,0,0,1
8,76,945,1,1,0
5,35,820,1,0,0
7,54,963,0,0,0
14,73,976,0,0,1
4,13,933,1,1,1
17,58,962,0,1,0
9,22,954,1,1,0
17,34,908,0,0,0
8,57,902,1,1,0
11,61,900,1,0,1
15,55,883,1,1,0
13,76,888,0,1,0
2,16,895,1,0,1
8,76,909,1,1,0
10,72,1054,0,1,0
4,7,976,1,1,0
"first year teacher",43,966,1,1,0
18,52,996,0,1,0
"first year teacher",44,931,0,1,0
4,20,892,0,1,0
12,15,906,1,0,1
5,64,981,0,1,0
4,63,972,1,0,0
3,28,983,1,1,1
21,20,927,1,1,0
12,12,959,0,1,0
5,47,885,0,1,0
22,33,901,0,1,1
14,9,1061,0,1,0
3,10,942,0,1,0
12,15,870,1,0,1
15,26,890,0,0,1
7,61,830,1,1,1
"first year teacher",67,875,0,1,1
4,48,939,0,0,1
3,15,885,0,0,1
17,16,762,0,1,1
14,36,897,0,1,1
13,8,933,1,0,0
2,16,867,1,0,1
8,38,876,0,0,0
21,40,908,0,0,1
2,40,968,0,0,1
4,20,816,0,1,0
10,30,996,0,1,1
17,34,903,0,0,0
8,57,789,0,1,1
6,50,931,1,1,0
11,6,845,0,1,0
24,44,909,0,0,1
6,62,873,1,1,1
24,30,1054,0,1,1
21,40,1031,0,0,0
2,16,912,1,1,1
18,41,1099,1,1,0
8,76,925,1,1,0
2,40,900,0,1,1
12,46,936,0,1,0
12,63,940,0,0,1
1,14,902,0,1,1
5,9,852,0,1,1
5,37,914,0,1,0
4,35,855,0,1,1
8,68,954,1,1,1
"first year teacher",31,953,0,0,1
13,79,805,0,0,1
2,32,828,0,1,1
6,39,857,1,1,1
9,18,923,0,1,0
27,40,859,1,0,1
19,73,983,0,1,0
7,28,908,0,1,1
3,22,1096,1,1,1
14,1,1191,1,1,0
1,57,894,1,0,0
10,63,1051,0,1,0
6,33,815,0,0,1
6,2,864,0,0,0
9,12,1057,1,0,0
15,47,870,0,0,0
13,11,1069,0,1,0
11,27,962,1,1,1
9,65,918,0,1,0
16,69,939,0,1,0
2,30,1008,1,1,1
24,30,1077,0,1,0
15,43,940,1,0,0
27,70,924,0,0,0
12,74,878,1,1,0
10,1,818,0,1,1
3,15,889,0,0,1
2,76,881,0,0,1
12,8,811,0,0,1
15,41,987,0,1,0
2,32,867,0,0,1
1,19,903,0,1,1
16,62,839,0,0,1
12,74,882,1,1,1
13,54,947,0,0,0
8,3,990,0,1,1
9,53,756,1,0,1
"first year teacher",59,1031,0,1,0
11,75,846,0,1,0
3,58,904,0,1,0
5,64,888,0,1,0
1,19,931,0,0,1
11,27,994,1,1,1
3,56,822,1,1,0
13,11,1099,0,1,0
27,70,1033,0,0,1
5,1,952,0,1,0
20,64,742,0,1,1
5,47,842,0,1,0
7,4,860,0,1,1
17,43,900,0,1,0
1,21,931,0,0,0
6,13,961,0,1,0
"first year teacher",7,939,0,1,0
12,25,906,1,1,1
15,47,842,0,0,0
12,72,1006,0,1,0
8,4,942,0,0,0
14,33,877,1,0,1
12,51,921,0,1,0
10,72,964,0,1,0
3,10,1004,0,1,0
12,10,809,0,1,1
10,51,907,1,0,0
9,7,963,0,1,0
1,76,937,0,0,1
11,18,868,0,1,1
2,34,868,1,1,1
2,57,841,0,1,1
2,25,945,0,0,1
11,45,779,0,1,1
1,16,829,1,0,1
"first year teacher",4,939,1,1,0
4,40,900,1,0,1
20,27,945,0,1,1
12,25,983,1,1,1
16,72,992,1,1,0
16,68,947,0,0,0
3,43,880,0,1,0
15,36,881,0,0,0
12,45,917,0,1,1
6,72,997,1,0,1
"first year teacher",27,983,0,1,0
11,6,920,0,0,0
11,75,931,0,0,0
"first year teacher",27,881,0,0,0
3,42,832,0,0,0
5,21,898,0,1,1
3,66,829,0,1,1
1,21,975,0,0,1
12,63,947,0,1,0
5,29,854,0,0,1
20,17,916,1,1,1
6,13,965,0,1,0
9,49,918,0,0,0
13,76,876,0,1,0
14,36,868,0,0,1
24,22,968,0,1,1
12,72,949,0,0,0
6,26,873,0,0,1
14,36,1053,0,0,0
1,23,921,0,1,1
8,66,909,0,0,0
13,54,961,0,1,0
7,56,878,0,1,0
"first year teacher",44,879,0,1,1
3,43,875,0,0,0
9,1,820,0,0,1
14,59,1049,1,1,1
17,48,883,1,0,1
24,22,915,0,0,1
11,49,1022,0,1,0
11,23,879,1,1,0
7,56,800,0,1,1
13,50,889,0,0,1
22,33,899,0,1,1
14,32,857,1,0,1
21,40,857,0,1,1
6,69,971,0,1,0
17,2,920,0,0,1
7,28,877,0,1,1
4,35,807,0,0,1
2,32,905,0,1,1
21,15,855,1,0,1
7,22,887,0,1,0
6,39,876,1,0,1
16,51,935,1,0,0
2,76,933,0,1,1
9,7,851,0,0,1
12,46,946,0,1,0
17,2,870,0,1,0
"first year teacher",17,987,0,0,0
1,23,933,0,1,0
6,69,949,0,1,0
12,80,866,1,1,1
"first year teacher",42,955,1,1,0
13,8,937,1,1,0
3,45,827,1,0,1
3,56,846,0,1,0
6,16,836,0,1,1
1,76,986,0,1,0
16,51,907,1,1,0
17,29,906,0,0,1
13,54,858,0,0,0
5,29,831,0,1,1
12,54,931,1,0,0
20,27,960,0,0,1
12,45,851,0,0,1
8,49,897,1,0,0
24,44,1063,0,1,1
14,9,972,0,0,1
14,9,966,1,1,0
14,70,964,0,0,1
12,50,927,1,1,1
11,60,854,1,1,1
12,50,893,0,0,1
14,9,993,1,1,0
1,6,918,0,0,1
15,51,782,1,0,0
1,22,916,0,1,1
14,70,989,0,1,0
18,25,882,0,0,1
11,11,834,0,0,1
6,2,809,0,1,1
5,34,816,0,1,0
12,46,1054,0,0,0
10,70,997,0,1,0
7,36,841,1,1,0
6,69,959,1,0,1
13,67,912,0,1,0
12,74,931,1,0,1
"first year teacher",59,971,0,0,0
19,73,1003,0,0,0
3,44,988,1,0,1
5,37,956,0,1,0
18,25,875,0,0,1
8,70,847,1,1,0
