maxcc,ind,cc,year,week,mage,fage,flfp,heduc,children,adult,food,expend,hincome
6,22,1,1991,17,44,43,3,2,1,4,2.7481627,8.0894632,5.2826843
6,22,2,1991,25,44,43,3,2,1,4,2.8451655,6.0550981,5.6831269
6,22,3,1992,1,44,43,3,2,1,4,3.8930726,8.2983465,4.4788013
6,22,4,1992,9,45,44,3,2,1,4,2.1224184,5.6460886,4.0942478
6,22,5,1992,17,45,44,3,2,1,4,2.3183594,6.8114581,5.4391084
6,22,6,1992,25,45,44,3,2,1,4,2.9964223,10.048048,6.5097189
6,87,1,1985,1,35,32,2,3,2,2,1.7946918,4.5946755,6.0343943
6,87,2,1985,9,35,33,3,3,2,2,3.1552136,5.3284383,6.5947151
6,87,3,1985,17,35,33,3,3,2,2,.56558847,2.7338228,5.2907333
6,87,4,1985,25,35,33,3,3,2,2,1.29716,4.9709692,6.061852
6,87,5,1986,1,36,33,3,3,3,2,.67800033,3.2892992,4.6094012
6,87,6,1986,9,36,34,3,3,3,2,.92070025,2.8852417,4.6180878
6,120,1,1991,17,41,40,3,3,2,2,.85722744,3.3829286,4.0935678
6,120,2,1991,25,41,41,3,3,2,2,.86777353,2.3396831,5.1341124
6,120,3,1992,1,41,41,3,3,2,2,1.2792141,4.5832009,4.1828275
6,120,4,1992,9,41,41,3,3,2,2,.71702099,3.3800764,5.3604846
6,120,5,1992,17,42,41,3,3,2,2,1.16397,3.8954628,4.2676592
6,120,6,1992,25,42,42,3,3,2,2,1.1281691,3.3280063,5.2478042
6,121,1,1993,1,39,35,3,1,5,3,4.2366977,8.0401487,2.9382162
6,121,2,1993,9,39,36,2,1,5,3,3.0719888,5.1438856,5.8286304
6,121,3,1993,17,40,36,3,1,5,3,3.6303735,9.4708338,6.9430852
6,121,4,1993,25,40,36,2,1,4,4,2.9059589,6.1905603,7.298974
6,121,5,1994,1,40,36,2,1,4,4,3.1272779,5.2349567,8.2402897
6,121,6,1994,9,40,37,2,1,4,3,4.7031269,8.0530796,7.9737377
6,157,1,1988,1,33,32,3,5,2,2,.78403503,2.6727307,7.1324878
6,157,2,1988,9,33,32,3,5,2,2,1.3839219,4.0950332,7.9049978
6,157,3,1988,17,34,33,3,5,2,2,1.5355458,2.7321374,5.63448
6,157,4,1988,25,34,33,3,5,2,2,.86402792,4.1489959,6.9649167
6,157,5,1989,1,34,33,3,5,2,2,1.4544774,3.7922044,7.1174502
6,157,6,1989,9,35,34,3,5,2,2,.95183045,3.8649263,8.2863531
6,158,1,1990,1,35,35,3,5,2,2,2.4510148,6.2814922,7.1998105
6,158,2,1990,9,35,36,3,5,2,2,1.7335383,7.2362695,7.9525843
6,158,3,1990,17,35,36,3,5,2,2,2.5020192,8.1404905,6.8127422
6,158,4,1990,25,35,36,3,5,2,2,2.207387,6.2375388,8.0824413
6,158,5,1991,1,36,36,3,5,2,2,1.5505,7.7080731,6.4136868
6,158,6,1991,9,36,37,3,5,2,2,2.002599,8.3926363,7.2951169
6,202,1,1994,17,42,43,3,3,3,2,1.1870943,4.0761366,5.2735057
6,202,2,1994,25,42,43,3,3,3,2,.75749826,2.7530951,5.946701
6,202,3,1995,1,42,43,3,3,3,2,1.5202008,4.4130917,5.2322989
6,202,4,1995,9,42,43,3,3,3,2,.66613168,3.2315657,5.739594
6,202,5,1995,17,43,44,3,3,2,3,.77285343,2.7879856,6.6078644
6,202,6,1995,25,43,44,3,3,2,3,.59258801,7.4686027,6.1173081
6,207,1,1990,17,44,36,3,2,3,2,1.6487426,3.2949605,4.2711797
6,207,2,1990,25,44,37,3,2,3,2,2.2378738,5.4226685,5.8119454
