co,year,c,y,p,car
AUSTRIA,1960,4.173244,-6.474277,-.33454761,-9.76684
AUSTRIA,1961,4.1009893,-6.4260058,-.35132763,-9.6086216
AUSTRIA,1962,4.0731764,-6.4073081,-.3795177,-9.4572563
AUSTRIA,1963,4.0595093,-6.3706784,-.41425139,-9.3431549
AUSTRIA,1964,4.0376887,-6.322247,-.44533536,-9.2377396
AUSTRIA,1965,4.0339832,-6.2946677,-.49706066,-9.1239033
AUSTRIA,1966,4.0475364,-6.2525454,-.46683773,-9.0198221
AUSTRIA,1967,4.0529108,-6.2345805,-.5058834,-8.9344025
AUSTRIA,1968,4.045507,-6.2068944,-.52241254,-8.8479671
AUSTRIA,1969,4.0463548,-6.1531396,-.55911052,-8.7886858
AUSTRIA,1970,4.0808878,-6.0817122,-.59656119,-8.7282
AUSTRIA,1971,4.1067204,-6.0436258,-.65445912,-8.6358986
AUSTRIA,1972,4.1280179,-5.9810519,-.59633183,-8.5383377
AUSTRIA,1973,4.1993804,-5.895153,-.59444684,-8.4872894
AUSTRIA,1974,4.0184956,-5.8523812,-.46602693,-8.4304037
AUSTRIA,1975,4.0290179,-5.8693633,-.45414221,-8.3828144
AUSTRIA,1976,3.9854116,-5.8117027,-.50008374,-8.3222322
AUSTRIA,1977,3.9316759,-5.8332877,-.42191562,-8.2495632
AUSTRIA,1978,3.9227495,-5.762023,-.46960312,-8.2110405
BELGIUM,1960,4.1640158,-6.2150912,-.16570961,-9.4055271
BELGIUM,1961,4.1243558,-6.1768432,-.17173098,-9.3031492
BELGIUM,1962,4.0759616,-6.1296382,-.22229138,-9.21807
BELGIUM,1963,4.001266,-6.0940189,-.25046226,-9.1149321
BELGIUM,1964,3.9943755,-6.0364614,-.27591056,-9.0054903
BELGIUM,1965,3.9515307,-6.0072517,-.34493697,-8.8625813
BELGIUM,1966,3.8205378,-5.9941082,-.2363977,-8.7545271
BELGIUM,1967,3.9068782,-5.9648118,-.26699498,-8.748827
BELGIUM,1968,3.8286655,-5.9246931,-.31116074,-8.5765123
BELGIUM,1969,3.8546011,-5.857532,-.35480851,-8.5214529
BELGIUM,1970,3.8703916,-5.7972007,-.37794045,-8.453043
BELGIUM,1971,3.8722451,-5.7610497,-.39922991,-8.4094572
BELGIUM,1972,3.9054019,-5.7102304,-.31064585,-8.3625879
BELGIUM,1973,3.8959956,-5.6441445,-.37309191,-8.3144464
BELGIUM,1974,3.8182304,-5.6007276,-.36223564,-8.2705956
BELGIUM,1975,3.8777785,-5.623003,-.36430848,-8.2288475
BELGIUM,1976,3.8641455,-5.5671926,-.37896585,-8.1841335
BELGIUM,1977,3.8543112,-5.5566964,-.43164134,-8.1385336
BELGIUM,1978,3.8427417,-5.5329399,-.59094965,-8.1047411
CANADA,1960,4.8552384,-5.8897133,-.97210652,-8.3789167
CANADA,1961,4.8265553,-5.8843436,-.97229022,-8.3467293
CANADA,1962,4.8505325,-5.8445525,-.97860754,-8.3205118
CANADA,1963,4.8380799,-5.7923517,-1.0190479,-8.2694225
CANADA,1964,4.8397603,-5.7600632,-1.002857,-8.2524042
CANADA,1965,4.8508277,-5.7228217,-1.0171255,-8.2236214
CANADA,1966,4.8710251,-5.6717839,-1.0169444,-8.2012367
CANADA,1967,4.852499,-5.6084809,-1.0235971,-8.1560764
CANADA,1968,4.8687825,-5.5739245,-1.0198452,-8.123188
CANADA,1969,4.8644328,-5.5608525,-1.0368639,-8.0951138
CANADA,1970,4.89957,-5.5147629,-1.0673331,-8.0800285
CANADA,1971,4.8950744,-5.4799194,-1.0580368,-8.0392637
CANADA,1972,4.8893023,-5.4366026,-1.0996671,-7.9895306
CANADA,1973,4.899694,-5.4147534,-1.1331614,-7.9421396
CANADA,1974,4.8915906,-5.4184561,-1.1237999,-7.9007578
CANADA,1975,4.8884711,-5.3790975,-1.1856843,-7.8733125
CANADA,1976,4.837359,-5.3612852,-1.0617965,-7.8084249
CANADA,1977,4.8109913,-5.3369665,-1.0708445,-7.7687926
CANADA,1978,4.8558459,-5.3112721,-1.0749507,-7.7880616
DENMARK,1960,4.501986,-6.0617256,-.1957026,-9.3261604
DENMARK,1961,4.4828458,-6.0008969,-.25361845,-9.1931353
DENMARK,1962,4.3854485,-5.9874768,-.21875401,-9.0472832
DENMARK,1963,4.3539972,-5.9730601,-.24800935,-8.9527826
DENMARK,1964,4.3264356,-5.8947415,-.30654922,-8.8526068
DENMARK,1965,4.2494535,-5.8593559,-.32701543,-8.7619534
DENMARK,1966,4.2336435,-5.8518658,-.39618847,-8.6815405
DENMARK,1967,4.2034664,-5.8230639,-.4425737,-8.6021214
DENMARK,1968,4.1616874,-5.7922606,-.35204753,-8.5337734
DENMARK,1969,4.1735616,-5.7227693,-.40687922,-8.470459
DENMARK,1970,4.1288071,-5.7083073,-.44046083,-8.4270592
DENMARK,1971,4.1031461,-5.6768203,-.45473954,-8.3693991
DENMARK,1972,4.082808,-5.6459908,-.49918863,-8.3346729
DENMARK,1973,4.1374378,-5.5958614,-.43257186,-8.3046026
DENMARK,1974,4.0004606,-5.5948658,-.42517719,-8.3001766
DENMARK,1975,4.0330148,-5.6129665,-.39395431,-8.2746315
DENMARK,1976,4.0077391,-5.5539389,-.35361534,-8.2440872
DENMARK,1977,4.0052905,-5.5387301,-.35690916,-8.2198582
DENMARK,1978,4.0366011,-5.4830737,-.29068136,-8.1958055
FRANCE,1960,3.9077041,-6.2643628,-.019598331,-9.1457062
FRANCE,1961,3.8856225,-6.2208829,-.023859998,-9.0442533
FRANCE,1962,3.8236661,-6.1735926,-.068920217,-8.9301329
FRANCE,1963,3.7889965,-6.1370602,-.13792899,-8.8186321
FRANCE,1964,3.7670844,-6.0872369,-.19784646,-8.7109652
FRANCE,1965,3.7605836,-6.0485277,-.23365325,-8.6293907
FRANCE,1966,3.7495348,-6.0008364,-.26427165,-8.5457706
FRANCE,1967,3.7686207,-5.9556599,-.29405797,-8.4873695
FRANCE,1968,3.7782304,-5.9013796,-.32316178,-8.4255505
FRANCE,1969,3.7734599,-5.8407741,-.31519088,-8.3691368
FRANCE,1970,3.8015826,-5.7841811,-.33384615,-8.3270893
FRANCE,1971,3.8259623,-5.7431436,-.37945667,-8.2795219
FRANCE,1972,3.8466773,-5.6991072,-.40781641,-8.222764
FRANCE,1973,3.8849943,-5.6550651,-.4750343,-8.1839046
FRANCE,1974,3.8079948,-5.630096,-.21698192,-8.1603279
FRANCE,1975,3.8085489,-5.6332707,-.25838172,-8.1454659
FRANCE,1976,3.9081161,-5.588335,-.2465131,-8.1104069
FRANCE,1977,3.8125005,-5.5634179,-.22550681,-8.064147
FRANCE,1978,3.7888825,-5.5302467,-.38075942,-8.0056553
GERMANY,1960,3.9169531,-6.1598372,-.18591079,-9.3424807
GERMANY,1961,3.8853455,-6.1209235,-.23095384,-9.1838408
GERMANY,1962,3.871484,-6.0942574,-.3438417,-9.0372801
GERMANY,1963,3.8487823,-6.0683608,-.37464672,-8.9136295
GERMANY,1964,3.868993,-6.013442,-.39965257,-8.8110132
GERMANY,1965,3.8610492,-5.9664688,-.43987826,-8.7118874
GERMANY,1966,3.8807406,-5.9490681,-.54000199,-8.6311922
GERMANY,1967,3.8750319,-5.9600415,-.54998142,-8.5760136
GERMANY,1968,3.8893616,-5.8834143,-.43824223,-8.5158644
GERMANY,1969,3.8991847,-5.8296409,-.58923137,-8.4380608
GERMANY,1970,3.9025204,-5.767374,-.63329518,-8.3619289
GERMANY,1971,3.9321043,-5.7380199,-.67176312,-8.283823
GERMANY,1972,3.9324021,-5.71875,-.7179746,-8.2371616
GERMANY,1973,3.9241557,-5.668169,-.7258752,-8.1990032
