cluster,city,goodsan,goodwat,radio,tv,sumasset,lisradio,gradef,pregnant,curuse,curmeth,fpmess,partner,idealnum,gradep,agef,addesir,hofp5,hcfp5,difp5,notpreg
251,0,0,0,1,0,2,1,7,0,0,3,0,0,,0,18,,1,0,0,1
105,1,0,1,1,0,3,1,7,0,1,1,1,0,4,0,24,4,0,0,0,1
157,0,0,1,0,0,0,0,0,0,0,1,0,1,,8,41,,1,0,0,1
128,1,0,1,1,0,1,0,7,0,0,3,0,0,5,0,26,1,1,0,1,1
142,0,0,1,1,0,2,1,7,0,0,3,0,0,1,0,15,1,1,0,1,1
121,1,0,1,1,0,1,1,7,0,0,3,1,1,3,7,21,2,0,0,0,1
49,1,0,1,1,0,2,1,7,0,0,3,0,1,2,12,25,1,1,0,0,1
64,0,0,1,1,0,1,1,3,0,0,3,0,0,8,0,49,6,1,0,1,1
120,1,0,1,0,0,0,1,7,0,0,3,0,1,6,7,32,3,0,0,1,1
118,1,0,1,0,0,0,1,4,0,0,3,0,1,4,12,45,-5,0,1,0,1
105,1,0,1,1,0,1,1,12,0,1,2,0,0,4,0,32,2,0,0,0,1
127,0,0,0,1,0,1,1,6,0,0,3,0,1,6,,30,3,1,0,0,1
142,0,0,1,1,0,2,1,7,0,0,3,1,1,4,7,25,2,1,0,1,1
159,1,0,1,0,0,0,0,4,0,1,1,0,1,4,15,34,0,1,0,1,1
67,1,1,1,1,1,6,1,12,0,0,3,0,0,4,0,21,4,1,1,1,1
83,0,0,0,1,0,2,1,3,0,0,3,0,0,,0,15,,0,0,0,1
126,0,0,0,0,0,0,0,7,0,0,3,1,0,4,0,18,3,0,0,0,1
191,1,0,1,1,0,1,1,7,1,,3,0,1,3,7,21,3,0,1,0,0
48,0,0,1,0,0,0,0,0,0,0,3,1,1,6,4,46,-3,0,0,1,1
107,1,0,1,1,0,1,1,0,,0,3,1,1,6,,30,0,0,0,1,0
115,1,1,1,1,1,5,1,7,0,0,3,1,0,,0,28,,0,0,1,1
33,1,1,1,1,0,2,1,9,0,0,3,0,0,3,0,16,3,0,0,0,1
237,0,0,0,1,0,1,1,6,0,0,3,1,0,4,0,17,4,1,0,1,1
97,1,0,1,1,0,1,0,11,0,0,3,1,0,5,0,19,5,0,1,1,1
19,0,0,1,1,0,1,1,4,0,0,3,1,0,4,0,37,0,0,0,1,1
65,0,0,1,0,0,0,0,7,0,0,3,0,0,4,0,26,2,1,0,0,1
50,1,0,1,1,0,2,1,7,0,0,3,0,0,4,0,17,4,1,1,1,1
236,0,0,1,0,0,0,1,2,1,,3,0,1,6,4,25,2,1,0,0,0
221,1,0,1,0,0,0,1,7,0,0,3,1,1,6,10,39,-1,1,1,1,1
1,1,0,1,0,0,1,1,7,0,0,3,0,0,4,0,19,3,1,0,0,1
64,0,0,1,1,0,1,1,7,0,1,1,1,1,6,7,34,0,1,0,1,1
251,0,0,0,0,0,1,1,7,0,0,3,0,0,6,0,22,6,1,0,0,1
83,0,0,0,0,0,1,0,0,0,0,3,1,1,10,,48,3,0,0,0,1
81,0,0,1,0,0,0,0,7,0,0,3,1,1,6,7,25,3,0,0,0,1
50,1,0,1,1,0,2,1,7,0,0,3,0,0,4,0,19,4,1,1,1,1
115,1,0,1,1,1,4,1,12,0,0,3,1,0,3,0,18,3,0,0,1,1
221,1,0,1,1,0,1,1,7,0,0,3,1,1,4,7,26,1,1,1,1,1
282,0,0,0,0,0,0,0,7,0,0,3,1,1,6,2,20,6,1,0,0,1
298,1,0,1,1,0,1,1,7,0,0,3,0,0,4,0,30,-1,1,0,1,1
103,1,0,1,1,0,1,1,7,0,0,3,1,0,4,0,20,4,0,1,1,1
190,1,0,1,0,0,0,0,0,0,0,3,0,0,5,0,28,3,0,0,0,1
114,1,1,1,1,0,1,1,4,0,1,1,1,0,2,0,38,0,0,1,0,1
97,1,0,1,0,0,0,1,4,0,0,3,1,1,4,7,19,,0,1,1,1
64,0,0,0,0,0,0,0,7,0,0,3,1,1,5,7,19,4,1,0,1,1
253,1,0,0,0,0,0,0,0,0,0,3,0,0,8,0,17,8,0,0,0,1
35,1,0,1,1,0,2,1,7,0,0,3,1,0,5,0,16,5,0,0,1,1
80,0,0,1,1,0,2,1,4,0,0,3,1,1,4,8,40,2,1,0,0,1
115,1,1,1,1,1,5,1,7,0,0,3,0,0,2,0,17,2,0,0,1,1
109,1,0,0,1,0,1,1,7,0,0,3,1,1,3,6,17,3,0,0,1,1
297,0,0,0,0,0,0,1,7,0,1,2,1,0,6,0,26,2,0,1,1,1
127,0,0,0,0,0,0,0,0,1,,3,0,1,6,7,22,5,1,0,0,0
17,1,0,1,1,0,1,1,0,0,0,3,1,0,5,0,16,5,1,1,0,1
107,1,0,1,1,0,2,1,7,0,0,3,1,1,3,7,21,2,0,0,1,1
143,1,0,0,0,0,0,1,6,,0,3,1,0,5,0,17,5,1,0,0,0
115,1,1,1,1,1,4,0,5,0,1,1,0,1,3,7,31,1,0,0,1,1
236,0,0,1,0,0,0,0,0,0,0,3,1,1,9,,30,5,1,0,0,1
127,0,0,0,0,0,0,0,0,1,,3,1,1,6,6,39,0,1,0,0,0
121,1,0,1,1,0,2,1,3,0,1,1,1,1,6,4,36,0,0,0,0,1
110,1,0,1,1,0,1,1,7,0,0,3,1,1,4,12,20,2,1,1,0,1
267,0,0,1,1,0,1,1,4,0,0,3,0,1,6,4,32,1,0,0,1,1
16,1,0,1,1,0,2,1,7,0,0,3,0,0,2,0,19,2,1,0,1,1
50,1,0,1,0,0,0,1,7,0,0,3,0,0,4,0,19,4,1,1,1,1
298,1,0,1,1,0,1,1,0,1,,3,1,1,6,7,32,3,1,0,1,0
116,0,0,0,1,0,1,1,0,0,0,3,1,1,6,7,23,3,0,0,0,1
114,1,0,1,1,0,1,1,4,0,0,3,1,0,2,0,19,1,0,1,0,1
159,1,0,1,0,0,0,1,6,0,0,3,1,1,5,7,19,4,1,0,1,1
222,1,0,0,0,0,1,1,7,0,0,3,1,0,7,0,15,7,1,0,1,1
65,0,0,1,1,0,2,1,0,0,1,2,1,1,10,,49,2,1,0,0,1
204,1,0,1,1,0,2,1,0,0,0,1,1,0,10,0,49,0,1,1,0,1
34,1,1,1,0,0,1,1,7,0,0,3,1,1,4,7,17,4,1,0,0,1
105,1,0,1,1,0,2,1,6,0,0,3,0,0,5,0,15,5,0,0,0,1
103,1,0,1,0,0,0,1,7,0,0,3,1,0,3,0,20,2,0,1,1,1
238,0,0,1,1,0,1,1,7,0,1,1,1,1,4,12,28,0,1,0,1,1
81,0,0,1,1,0,1,1,7,0,0,3,1,1,5,7,27,2,0,0,0,1
313,0,0,0,0,0,0,1,6,0,0,3,0,0,6,0,15,6,0,0,1,1
108,1,0,1,1,0,2,1,6,1,,3,0,1,7,7,32,3,0,0,0,0
112,1,0,1,0,0,0,1,7,0,0,3,1,0,4,0,30,3,0,0,0,1
67,1,0,1,0,0,1,0,4,0,1,1,0,1,4,7,24,2,1,1,1,1
159,1,0,1,1,0,1,1,12,0,0,3,0,0,4,0,23,3,1,0,1,1
110,1,0,1,1,0,1,1,8,0,0,3,0,1,6,10,45,0,1,1,0,1
254,1,0,1,0,0,0,0,0,1,,3,1,0,,0,35,,1,0,1,0
105,1,0,1,1,0,1,1,7,0,1,2,1,0,2,0,29,1,0,0,0,1
115,1,0,1,1,0,2,1,7,0,0,3,1,0,6,0,17,6,0,0,1,1
128,1,0,1,0,0,0,1,7,0,0,3,0,1,5,7,22,3,1,0,1,1
267,0,0,1,0,0,1,1,7,1,,3,1,1,6,3,20,5,0,0,1,0
160,1,0,1,0,0,0,0,5,0,0,3,0,1,4,4,45,3,1,0,1,1
127,0,0,0,0,0,0,1,5,0,0,3,0,1,5,,18,,1,0,0,1
105,1,0,1,1,0,1,1,6,0,0,3,0,0,4,0,16,4,0,0,0,1
252,1,0,1,0,0,0,1,7,0,0,3,1,0,4,0,16,4,1,0,1,1
122,1,0,1,1,0,1,1,7,0,0,3,1,1,5,7,22,4,0,1,0,1
32,0,0,1,0,0,0,0,3,0,0,1,0,1,4,4,40,-4,0,0,1,1
83,0,0,0,1,0,2,1,6,0,0,3,1,0,4,0,24,1,0,0,0,1
160,1,0,1,0,0,0,0,0,0,0,3,0,1,5,4,45,2,1,0,1,1
17,1,0,1,1,0,1,1,3,0,0,3,1,1,6,7,30,2,1,1,0,1
83,0,0,0,1,0,1,1,7,0,1,1,1,0,6,0,31,4,0,0,0,1
34,1,0,1,1,0,1,1,7,0,0,3,1,0,4,0,15,4,1,0,0,1
299,1,0,1,1,0,1,1,7,0,0,3,1,0,4,0,16,4,1,0,1,1
1,1,0,1,1,0,2,1,0,0,0,3,1,1,7,4,35,3,1,0,0,1
118,1,0,1,0,0,0,0,0,0,0,3,0,1,6,4,40,2,0,1,0,1
16,1,1,1,1,0,1,1,12,0,1,1,1,1,4,12,33,1,1,0,1,1
83,0,0,0,0,0,0,0,11,0,0,3,1,1,7,4,34,3,0,0,0,1
282,0,0,0,0,0,0,0,7,0,0,3,1,1,,12,36,,1,0,0,1
98,1,0,1,1,0,1,1,7,0,1,1,1,1,6,7,29,1,0,1,1,1
189,0,0,0,0,0,0,0,0,0,0,3,0,1,,,49,,1,0,0,1
105,1,0,1,1,0,1,1,7,0,0,3,1,1,6,12,34,2,0,0,0,1
142,0,0,1,1,0,2,1,7,0,0,3,1,1,4,7,21,3,1,0,1,1
297,0,0,0,1,0,2,0,7,1,,3,0,1,10,4,26,9,0,1,1,0
17,1,0,1,1,0,1,1,7,0,1,1,1,0,4,0,20,3,1,1,0,1
104,,0,1,1,0,2,1,8,0,0,3,1,1,2,15,41,-2,1,1,1,1
107,1,0,1,1,0,1,1,10,0,0,3,1,0,3,0,16,3,0,0,1,1
17,1,1,0,1,0,1,1,7,0,0,3,0,0,3,0,16,3,1,1,0,1
253,1,0,0,1,0,1,1,3,0,1,2,1,1,20,7,24,17,0,0,0,1
1,1,0,1,0,0,0,1,6,1,,3,1,0,8,0,15,8,1,0,0,0
120,1,0,1,0,0,0,0,0,0,0,3,1,1,9,,39,1,0,0,1,1
119,1,0,1,1,0,1,1,7,0,1,1,1,0,5,0,31,0,0,0,0,1
